name,company,company_size,field,workarea,salary,background,education
路径规划与决策算法工程师,坎德拉（深圳）科技创新有限公司,150-500人,"硬件,移动互联网",深圳,15k-30k,1-3年,本科
自动驾驶架构师,坎德拉（深圳）科技创新有限公司,150-500人,"硬件,移动互联网",深圳,30k-50k,5-10年,本科
测试工程师,坎德拉（深圳）科技创新有限公司,150-500人,"硬件,移动互联网",深圳,6k-10k,1-3年,本科
服务专员,坎德拉（深圳）科技创新有限公司,150-500人,"硬件,移动互联网",深圳,5k-7k,不限,大专
硬件工程师,坎德拉（深圳）科技创新有限公司,150-500人,"硬件,移动互联网",深圳,15k-20k,3-5年,本科
JAVA开发工程师,坎德拉（深圳）科技创新有限公司,150-500人,"硬件,移动互联网",深圳,15k-25k,3-5年,本科
广告投放专员（国内）,广州卓动信息科技有限公司,150-500人,"游戏,电商",广州,6k-12k,1-3年,大专
国内广告投放专员（校招）,广州卓动信息科技有限公司,150-500人,"游戏,电商",广州,6k-8k,应届毕业生,不限
资深用户运营/平台运营,杭州同花顺数据开发有限公司,2000人以上,"金融,电商",杭州,25k-50k,3-5年,本科
产品专员,广州无界互动网络科技有限公司,150-500人,移动互联网,广州,6k-10k,1-3年,本科
资深前端开发,杭州同花顺数据开发有限公司,2000人以上,"金融,电商",杭州,18k-36k,3-5年,本科
资深Java开发,杭州同花顺数据开发有限公司,2000人以上,"金融,电商",杭州,18k-36k,3-5年,本科
华南BD总监,上海简米网络科技有限公司,50-150人,金融,深圳,15k-25k,3-5年,大专
华东BD总监,上海简米网络科技有限公司,50-150人,金融,上海,15k-25k,3-5年,大专
华北BD总监,上海简米网络科技有限公司,50-150人,金融,北京,15k-25k,3-5年,大专
支付产品经理,上海简米网络科技有限公司,50-150人,金融,上海,15k-30k,3-5年,本科
项目经理,深圳市海文环保技术有限公司,15-50人,其他,深圳,8k-15k,3-5年,本科
游戏制作人 (MJ000037),武汉掌游科技有限公司,150-500人,"移动互联网,游戏",武汉,20k-30k,5-10年,本科
文案策划,深圳安博检测股份有限公司,150-500人,其他,深圳,5k-7k,不限,大专
前端高级开发工程师 (MJ000031),武汉掌游科技有限公司,150-500人,"移动互联网,游戏",武汉,9k-14k,3-5年,本科
游戏主美 (MJ000038),武汉掌游科技有限公司,150-500人,"移动互联网,游戏",武汉,15k-25k,5-10年,本科
高级大数据开发工程师 (MJ000018),武汉掌游科技有限公司,150-500人,"移动互联网,游戏",武汉,15k-25k,3-5年,本科
CRM产品经理 (MJ000048),武汉掌游科技有限公司,150-500人,"移动互联网,游戏",武汉,13k-20k,3-5年,本科
销售经理,广州云翊信息科技有限公司,15-50人,"移动互联网,消费生活",广州,6k-12k,1-3年,本科
产品经理,广州云翊信息科技有限公司,15-50人,"移动互联网,消费生活",广州,6k-7k,应届毕业生,本科
高级软件工程师（Java）,北京龙盾数据有限公司,50-150人,"移动互联网,数据服务",北京,15k-25k,3-5年,本科
数据库工程师（ETL）,北京龙盾数据有限公司,50-150人,"移动互联网,数据服务",北京,10k-20k,3-5年,本科
PHP,广州云翊信息科技有限公司,15-50人,"移动互联网,消费生活",广州,6k-7k,不限,本科
客户关系维护专员,任拓数据科技（上海）有限公司,150-500人,"电商,数据服务",上海,6k-8k,1-3年,大专
电商产品经理,任拓数据科技（上海）有限公司,150-500人,"电商,数据服务",上海,15k-30k,3-5年,本科
大客户销售顾问,任拓数据科技（上海）有限公司,150-500人,"电商,数据服务",上海,10k-20k,3-5年,本科
安卓逆向工程师,任拓数据科技（上海）有限公司,150-500人,"电商,数据服务",上海,15k-30k,1-3年,本科
软件开发工程师,任拓数据科技（上海）有限公司,150-500人,"电商,数据服务",上海,10k-13k,应届毕业生,本科
软件开发工程师,任拓数据科技（上海）有限公司,150-500人,"电商,数据服务",上海,12k-24k,1-3年,本科
大客户经理,任拓数据科技（上海）有限公司,150-500人,"电商,数据服务",上海,15k-25k,5-10年,本科
产品经理,任拓数据科技（上海）有限公司,150-500人,"电商,数据服务",上海,16k-30k,3-5年,本科
法务经理,任拓数据科技（上海）有限公司,150-500人,"电商,数据服务",上海,18k-30k,5-10年,本科
财务分析,耀方信息技术（上海）有限公司,500-2000人,"移动互联网,电商",上海,15k-20k,3-5年,本科
阿拉伯语运营实习生,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,2k-3k,应届毕业生,本科
英文小说翻译编辑实习生,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,1k-2k,不限,本科
产品运营实习生,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,2k-3k,应届毕业生,本科
高级产品经理（营收）,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,15k-25k,3-5年,本科
产品运营实习生,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,2k-3k,不限,本科
高级java开发工程师,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,10k-18k,3-5年,本科
海外运营实习生(日语),广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,2k-3k,应届毕业生,本科
游戏测试开发工程师,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,6k-10k,1-3年,本科
产品运营实习生,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,2k-3k,不限,本科
Android开发工程师,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,8k-15k,1-3年,本科
视频广告设计师,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,8k-16k,1-3年,本科
产品经理,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,10k-15k,1-3年,本科
休闲游戏特效设计师,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,10k-15k,1-3年,本科
java开发工程师,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,9k-14k,1-3年,本科
游戏UI设计师,广州久邦世纪科技有限公司,500-2000人,"移动互联网,游戏",广州,10k-20k,不限,大专
天猫运营,北京果壳互动科技传媒有限公司,150-500人,"移动互联网,社交",北京,9k-15k,1-3年,本科
编辑实习生,北京果壳互动科技传媒有限公司,150-500人,"移动互联网,社交",北京,2k-4k,应届毕业生,本科
采编实习生,北京果壳互动科技传媒有限公司,150-500人,"移动互联网,社交",北京,2k-4k,应届毕业生,本科
游戏广告投放,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",广州,10k-15k,1-3年,不限
游戏3D动作设计师,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,13k-18k,1-3年,不限
游戏3D渲染师,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,13k-18k,1-3年,不限
广告视频设计师,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,10k-15k,1-3年,大专
游戏客服专员,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,5k-7k,1-3年,不限
信息流广告设计,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,10k-15k,1-3年,大专
游戏广告投放,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,10k-15k,1-3年,不限
信息流广告优化师,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,10k-15k,1-3年,不限
游戏商务总监,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",广州,20k-25k,5-10年,不限
数据分析师-游戏,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,10k-15k,1-3年,大专
广告优化师,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,12k-16k,1-3年,不限
平面设计师/视频,深圳宜搜天下科技股份有限公司,150-500人,"移动互联网,游戏",深圳,10k-15k,不限,大专
WINDOWS桌面应用开发,浙江无端科技股份有限公司,150-500人,游戏,杭州,20k-35k,5-10年,本科
游戏美术设计师,浙江无端科技股份有限公司,150-500人,游戏,杭州,12k-24k,3-5年,本科
引擎开发工程师,浙江无端科技股份有限公司,150-500人,游戏,杭州,20k-35k,应届毕业生,不限
app运营经理,标贝（北京）科技有限公司,150-500人,人工智能,北京,10k-20k,3-5年,本科
商务经理,标贝（北京）科技有限公司,150-500人,人工智能,深圳,10k-20k,1-3年,本科
图形开发工程师,浙江无端科技股份有限公司,150-500人,游戏,杭州,20k-35k,应届毕业生,本科
海外市场专员,浙江无端科技股份有限公司,150-500人,游戏,杭州,13k-23k,不限,本科
交互动效设计师,浙江无端科技股份有限公司,150-500人,游戏,杭州,23k-45k,3-5年,不限
语音产品实习生,标贝（北京）科技有限公司,150-500人,人工智能,北京,3k-6k,不限,本科
引擎开发工程师,浙江无端科技股份有限公司,150-500人,游戏,杭州,20k-35k,不限,不限
东南亚发行经理,浙江无端科技股份有限公司,150-500人,游戏,杭州,20k-35k,1-3年,本科
资深NLP研发工程师,标贝（北京）科技有限公司,150-500人,人工智能,北京,25k-40k,3-5年,硕士
制作人,浙江无端科技股份有限公司,150-500人,游戏,杭州,30k-60k,5-10年,本科
PR策划—Saas方向,标贝（北京）科技有限公司,150-500人,人工智能,北京,15k-20k,3-5年,本科
主UI,浙江无端科技股份有限公司,150-500人,游戏,杭州,40k-75k,5-10年,大专
h5开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,9k-14k,1-3年,本科
高级UI设计师,深圳市墨默交互科技有限公司,50-150人,"移动互联网,企业服务",深圳,15k-25k,5-10年,本科
交互设计师（太平金科）,深圳市墨默交互科技有限公司,50-150人,"移动互联网,企业服务",深圳,14k-17k,3-5年,本科
java开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",广州,9k-14k,1-3年,本科
java开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,10k-15k,3-5年,本科
全栈开发工程师,北京联龙博通电子商务技术有限公司,2000人以上,"移动互联网,电商",成都,11k-14k,3-5年,本科
java工程师,北京联龙博通电子商务技术有限公司,2000人以上,"移动互联网,电商",深圳,12k-16k,3-5年,本科
策略设计师,深圳市墨默交互科技有限公司,50-150人,"移动互联网,企业服务",深圳,20k-30k,5-10年,硕士
初级运营设计师,深圳市墨默交互科技有限公司,50-150人,"移动互联网,企业服务",深圳,6k-8k,1-3年,大专
h5开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,12k-20k,3-5年,本科
h5开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,8k-12k,1-3年,本科
市场拓展,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,10k-15k,3-5年,不限
golang开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,12k-18k,1-3年,本科
业务处理岗,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,8k-12k,1-3年,本科
Python高级工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,11k-20k,1-3年,本科
市场专员,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,7k-13k,1-3年,本科
商务BD,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,7k-13k,3-5年,本科
社区内容运营,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,15k-25k,3-5年,本科
新媒体运营,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,4k-5k,不限,本科
社区内容运营主管,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,15k-25k,3-5年,本科
媒介专员,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,7k-13k,3-5年,本科
新媒体运营专员,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,4k-5k,不限,本科
销售经理,浙江钧信保安服务有限公司,50-150人,"信息安全,数据服务",杭州,12k-20k,1-3年,本科
kol运营专员,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,4k-5k,1年以下,本科
商务经理,浙江钧信保安服务有限公司,50-150人,"信息安全,数据服务",杭州,12k-20k,1-3年,本科
海外财经内容运营,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,7k-13k,1-3年,本科
解决方案工程师,浙江钧信保安服务有限公司,50-150人,"信息安全,数据服务",杭州,12k-18k,1-3年,本科
研发项目经理,浙江钧信保安服务有限公司,50-150人,"信息安全,数据服务",杭州,18k-30k,5-10年,本科
二次元主播,广州梦映动漫网络科技有限公司,150-500人,"移动互联网,文娱丨内容",广州,5k-10k,不限,不限
Android开发实习生,广州梦映动漫网络科技有限公司,150-500人,"移动互联网,文娱丨内容",广州,2k-3k,不限,本科
急聘测试工程师,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,9k-11k,3-5年,大专
急聘java开发,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,10k-16k,3-5年,大专
ui设计师,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,10k-14k,3-5年,本科
java开发工程师,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,9k-15k,3-5年,大专
产品经理,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,10k-15k,1-3年,不限
招聘专员,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,4k-6k,不限,大专
课程顾问,北京市海淀区新航道培训学校,2000人以上,教育,北京,10k-20k,不限,大专
大学市场专员,北京市海淀区新航道培训学校,2000人以上,教育,北京,7k-12k,不限,大专
市场专员,北京市海淀区新航道培训学校,2000人以上,教育,北京,7k-10k,不限,大专
高级测试工程师,绿漫科技有限公司,50-150人,移动互联网,杭州,18k-30k,3-5年,本科
资深软件工程师,绿漫科技有限公司,50-150人,移动互联网,杭州,20k-35k,5-10年,本科
通信服务项目经理,绿漫科技有限公司,50-150人,移动互联网,杭州,5k-10k,3-5年,大专
产业运营经理/项目经理,绿漫科技有限公司,50-150人,移动互联网,杭州,12k-20k,3-5年,本科
平台运营--负责人,绿漫科技有限公司,50-150人,移动互联网,杭州,20k-30k,3-5年,本科
营销总监/副总,绿漫科技有限公司,50-150人,移动互联网,杭州,20k-40k,5-10年,本科
商务拓展经理,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,10k-20k,3-5年,本科
高级产品经理（患者）,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,20k-30k,5-10年,本科
活动运营,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,10k-16k,3-5年,本科
UI设计师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,10k-18k,3-5年,本科
Java中级开发工程师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,13k-18k,3-5年,本科
HRBP,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,10k-20k,3-5年,本科
高级JAVA开发工程师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,15k-25k,5-10年,本科
商务拓展,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,10k-20k,3-5年,本科
解决方案经理,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,15k-20k,5-10年,大专
中高级前端开发工程师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,15k-25k,3-5年,本科
应用架构师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,25k-50k,5-10年,本科
推广运营,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,10k-15k,1-3年,本科
前端专家,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,35k-45k,5-10年,本科
高级产品经理（医生）,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,30k-40k,5-10年,本科
APP专项测试,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,15k-25k,3-5年,大专
课程咨询主管,成都心田花开教育咨询有限公司,500-2000人,教育,重庆,7k-12k,3-5年,本科
媒介经理,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,10k-20k,3-5年,本科
财务专员,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,6k-8k,1-3年,本科
APP测试工程师,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,10k-20k,3-5年,本科
商务经理,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,10k-15k,1-3年,大专
品牌运营经理（商务合作方向）,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,10k-15k,1-3年,本科
商务渠道,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,10k-15k,1-3年,本科
招聘专员,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,6k-8k,3-5年,本科
薪酬绩效经理,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,10k-15k,3-5年,本科
小学数学老师,成都心田花开教育咨询有限公司,500-2000人,教育,重庆,6k-12k,不限,本科
商务渠道经理,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,10k-15k,1-3年,大专
直播内容运营（电商方向）,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,12k-24k,1-3年,本科
区域校长,成都心田花开教育咨询有限公司,500-2000人,教育,重庆,20k-40k,5-10年,本科
互联商务经理,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,10k-20k,3-5年,大专
媒介合作,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,10k-15k,1-3年,本科
app内容运营,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,5k-8k,1-3年,大专
课程销售顾问（3000无责底薪、五险一金）,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,7k-11k,1-3年,大专
高级UI设计师,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,7k-10k,3-5年,本科
ios高级开发工程师,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,8k-12k,3-5年,大专
销售专员,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,7k-11k,1-3年,大专
产品经理/高级产品经理,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,10k-18k,3-5年,本科
网络销售（微信营销5险1金）,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,7k-11k,1-3年,大专
运营专员,广州九尾信息科技有限公司,150-500人,"移动互联网,消费生活",广州,4k-7k,1年以下,本科
自媒体运营,深圳市合泰文化发展有限公司,50-150人,"移动互联网,文娱丨内容",深圳,10k-15k,1-3年,本科
自如管家,北京自如生活企业管理有限公司,2000人以上,房产家居,北京,7k-9k,1年以下,本科
商城运营,深圳市合泰文化发展有限公司,50-150人,"移动互联网,文娱丨内容",深圳,8k-15k,不限,本科
天猫运营经理,深圳市合泰文化发展有限公司,50-150人,"移动互联网,文娱丨内容",深圳,20k-35k,5-10年,本科
电商运营,深圳市合泰文化发展有限公司,50-150人,"移动互联网,文娱丨内容",深圳,8k-15k,不限,本科
自如网销售专员,北京自如生活企业管理有限公司,2000人以上,房产家居,北京,10k-15k,不限,本科
Android开发工程师,深圳市丰巢科技有限公司,500-2000人,消费生活,武汉,10k-20k,1-3年,本科
网页讲师,北京工商管理专修学院,2000人以上,教育,北京,7k-9k,1-3年,大专
产品经理（电商）,华安财产保险股份有限公司,2000人以上,金融,深圳,15k-25k,3-5年,本科
JAVA开发,华安财产保险股份有限公司,2000人以上,金融,深圳,10k-20k,3-5年,本科
H5前端开发实训讲师,北京工商管理专修学院,2000人以上,教育,北京,13k-25k,3-5年,大专
JAVA开发,华安财产保险股份有限公司,2000人以上,金融,深圳,15k-20k,3-5年,本科
VR游戏 讲师,北京工商管理专修学院,2000人以上,教育,北京,12k-18k,3-5年,大专
系统测试设计岗,华安财产保险股份有限公司,2000人以上,金融,深圳,13k-20k,3-5年,本科
计算机基础老师,北京工商管理专修学院,2000人以上,教育,北京,7k-9k,1-3年,大专
java开发实训讲师,北京工商管理专修学院,2000人以上,教育,北京,12k-16k,3-5年,大专
教官/班主任,北京工商管理专修学院,2000人以上,教育,北京,5k-8k,1-3年,大专
ios开发工程师,华安财产保险股份有限公司,2000人以上,金融,深圳,15k-20k,3-5年,本科
JAVA开发（高级JAVA）,华安财产保险股份有限公司,2000人以上,金融,深圳,15k-25k,5-10年,本科
数据建模,华安财产保险股份有限公司,2000人以上,金融,深圳,20k-34k,3-5年,本科
需求分析师,华安财产保险股份有限公司,2000人以上,金融,深圳,12k-20k,3-5年,本科
品牌宣传,聚合吧科技有限公司,50-150人,"移动互联网,金融",深圳,10k-15k,1-3年,大专
产品经理（游戏）,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,15k-20k,3-5年,本科
游戏运营专员,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,8k-12k,1-3年,大专
课程顾问销售（线上K12）,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,6k-12k,1-3年,大专
用户运营（K12教育）,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,15k-25k,3-5年,本科
ios开发工程师,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,12k-18k,3-5年,本科
android开发工程师,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,15k-25k,3-5年,本科
招聘专员,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,6k-10k,1-3年,本科
游戏主策划,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,25k-30k,5-10年,本科
游戏渠道运营,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,6k-10k,1-3年,大专
内容运营,杭州青塔科技有限公司,50-150人,"移动互联网,数据服务",杭州,8k-10k,不限,硕士
java高级开发工程师,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,15k-25k,5-10年,本科
人力资源实习生,杭州青塔科技有限公司,50-150人,"移动互联网,数据服务",杭州,3k-4k,应届毕业生,本科
新媒体运营实习生,杭州青塔科技有限公司,50-150人,"移动互联网,数据服务",杭州,3k-4k,应届毕业生,硕士
游戏客服主管,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,8k-12k,3-5年,本科
行业研究（高等教育）,杭州青塔科技有限公司,50-150人,"移动互联网,数据服务",杭州,8k-15k,1-3年,硕士
高级软件工程师,深圳市德为智能科技有限公司,15-50人,"人工智能,其他",深圳,10k-20k,3-5年,本科
区域销售专员,湖南李我他公寓管理有限公司,50-150人,"消费生活,其他",长沙,4k-7k,应届毕业生,不限
财务会计,深圳市德为智能科技有限公司,15-50人,"人工智能,其他",深圳,7k-10k,1-3年,本科
文员,湖南李我他公寓管理有限公司,50-150人,"消费生活,其他",长沙,3k-4k,1-3年,大专
高级系统策划(玩法）,深圳市昊飞网络科技有限公司,50-150人,游戏,深圳,18k-25k,5-10年,大专
销售主管（信息流广告业务）,深圳市豪斯莱科技有限公司,50-150人,移动互联网,深圳,20k-40k,5-10年,大专
前端开发工程师,深圳市豪斯莱科技有限公司,50-150人,移动互联网,深圳,9k-14k,1-3年,本科
财务助理,深圳市豪斯莱科技有限公司,50-150人,移动互联网,深圳,4k-7k,1年以下,本科
广告优化师/主管,深圳市豪斯莱科技有限公司,50-150人,移动互联网,深圳,12k-24k,3-5年,大专
hrbp,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",北京,6k-8k,1-3年,本科
中高级招聘专员,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",大连,4k-6k,1-3年,本科
高级招聘,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",上海,8k-11k,3-5年,本科
交付专员,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",杭州,6k-8k,1-3年,本科
高级招聘专员,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",广州,7k-10k,3-5年,大专
抖音短视频编导,广州超链信息技术有限公司,50-150人,"移动互联网,电商",广州,8k-10k,3-5年,大专
c++工程师(J10145),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,9k-15k,应届毕业生,本科
测试工程师(J10149),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,7k-12k,应届毕业生,本科
网络工程师(J10152),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,7k-12k,应届毕业生,本科
解决方案工程师(J10156),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,9k-18k,应届毕业生,本科
售前技术支持工程师(J10178),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,6k-11k,应届毕业生,本科
FPGA工程师(J10177),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,9k-15k,应届毕业生,本科
Java工程师(J10176),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,8k-14k,应届毕业生,本科
销售助理,深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,7k-12k,1-3年,本科
解决方案工程师(J10169),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,9k-15k,应届毕业生,本科
销售专员(J10164),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",北京,7k-12k,应届毕业生,本科
c++工程师(J10107),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,14k-25k,1-3年,本科
高级测试工程师(J10099),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,14k-21k,3-5年,本科
高级测试工程师(J10098),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,10k-15k,3-5年,本科
c++高级开发工程师(J10113),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,22k-35k,3-5年,本科
c++工程师(J10175),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,9k-15k,应届毕业生,本科
项目运营,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,12k-18k,3-5年,本科
社群销售/微信运营,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,5k-10k,不限,本科
资深产品经理（C端用户增长方向）,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,20k-40k,5-10年,不限
资深销售经理/资深投资顾问,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融",深圳,50k-100k,3-5年,大专
运维工程师,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融",深圳,13k-20k,1-3年,大专
互联网运营经理,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融",深圳,18k-22k,5-10年,本科
韩语课程顾问,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,8k-15k,不限,本科
用户产品经理,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,20k-40k,5-10年,本科
内容运营主编,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,20k-30k,5-10年,本科
日语留学顾问,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,6k-9k,不限,不限
系统工程师,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,8k-10k,3-5年,本科
外贸业务员,义乌市年盛进出口有限公司,50-150人,电商,金华,5k-10k,1年以下,本科
python（web）,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融",深圳,15k-25k,3-5年,大专
系统工程师,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,8k-12k,3-5年,本科
高级英语教研老师,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,15k-30k,3-5年,本科
品牌视觉设计师,上海盖杰实业有限公司,15-50人,"移动互联网,电商",上海,10k-15k,3-5年,大专
新媒体运营主管,上海盖杰实业有限公司,15-50人,"移动互联网,电商",上海,10k-15k,3-5年,大专
品牌策划,上海盖杰实业有限公司,15-50人,"移动互联网,电商",上海,10k-15k,3-5年,大专
资深文案策划,上海盖杰实业有限公司,15-50人,"移动互联网,电商",上海,8k-16k,3-5年,大专
